fid,left,top,right,bottom,plot_id,xcoord,ycoord,Number_Burrows,Area_Surveyed,Radius,NN_Elevation,NN_slope,NN_aspect,NN_NDVI,NN_SAVI,Bi_Elevation,Bi_slope,Bi_aspect,Bi_NDVI,Bi_SAVI,col,cor_Radius,WeightedBuff_Elevation,WeightedBuff_slope,WeightedBuff_NDVI,WeightedBuff_SAVI,geometry
212,-702866.4662,7758697.241,-702766.4662,7758597.241,P_212,-702816.4662,7758647.241,35,314,10,541.8229704436516,22.910972154794813,4.716485218963397,0.44117138805138006,704.642047399081,542.2839215831775,22.408357819439484,86.64762456272689,0.43233252555883867,704.4885159974101,1,9.21110871350302,541.9436842263092,22.69230456082234,0.43763360100011567,704.1025280550866,"c(663205.91812881, 6319794.08206462)"
227,-702766.4662,7758597.241,-702666.4662,7758497.241,P_227,-702716.4662,7758547.241,34,314,10,558.6178997866847,9.86538401000044,1.087697036009323,0.25241050642657564,680.180256643709,556.2102342747904,12.295138144280125,53.50958858793876,0.2883268133557879,675.942285782762,1,9.852130195605364,557.8273630950727,10.779056962680873,0.2703192843179516,677.1351053434687,"c(663262.618239281, 6319741.78085744)"
240,-702666.4662,7758697.241,-702566.4662,7758597.241,P_240,-702616.4662,7758647.241,36,314,10,539.8722051368512,21.4708245133472,348.8203326838098,0.3902733807002006,665.0319824297741,538.7827764664123,21.299252913156955,351.43682352116457,0.38187165050491506,673.3601033443821,1,9.306040728162303,540.013847780927,21.172200840751827,0.3775847059943527,667.706276459149,"c(663315.031892804, 6319798.37706159)"
254,-702566.4662,7758697.241,-702466.4662,7758597.241,P_254,-702516.4662,7758647.241,43,314,10,539.1839443211286,19.571632640778457,17.999613844385575,0.37702624452765204,716.0716017195907,536.3958719054378,21.50105794954834,21.236683948586588,0.3958056651244954,713.0469090107306,1,9.422234206713917,538.6997033695958,20.213565979079327,0.38014800825443407,721.9348324382544,"c(663369.588750294, 6319800.52563747)"
255,-702566.4662,7758597.241,-702466.4662,7758497.241,P_255,-702516.4662,7758547.241,22,314,10,552.5335219941734,13.758438215427315,51.475117873642375,0.31489396127926517,717.2445023441592,550.8655293587317,14.7090374909605,43.04172593148845,0.3603231706039189,696.701362962362,1,9.713070541745225,551.3706041139783,14.452957053918226,0.35202394221972566,701.2551229024214,"c(663371.733404256, 6319746.07732354)"
268,-702466.4662,7758597.241,-702366.4662,7758497.241,P_268,-702416.4662,7758547.241,11,314,10,539.2652301823256,20.46870817050335,60.67080580162907,0.5174741633674239,791.489889220011,537.1148654907282,22.350120598552536,57.61973981426531,0.49206839488428056,756.7894172924298,1,9.368633137151347,537.0165830096527,22.41360134718845,0.4935786791111301,757.1855011947438,"c(663426.290962228, 6319748.22663399)"
281,-702366.4662,7758597.241,-702266.4662,7758497.241,P_281,-702316.4662,7758547.241,6,314,10,508.840202164109,30.409182311187532,53.96393033683646,0.35677081257745297,688.7421493786053,513.0753035665163,29.490546763792203,55.730380163733294,0.352549486488857,687.4209115268769,1,8.624325603692514,512.5825019307679,29.637124932044905,0.3528564546223604,688.0884258638781,"c(663480.84850385, 6319750.3766627)"
305,-702166.4662,7758597.241,-702066.4662,7758497.241,P_305,-702116.4662,7758547.241,6,314,10,473.43620263582784,26.09754289610853,29.071115356417682,0.4871649137462708,785.3042322180787,479.30873452693675,25.130203638553663,30.49893369884562,0.43989676536203515,745.2360057582794,1,8.980464415294685,476.583116932633,25.52566665772486,0.44554769813598516,758.6780367200548,"c(663589.963538021, 6319754.67887492)"
491,-700766.4662,7758097.241,-700666.4662,7757997.241,P_491,-700716.4662,7758047.241,29,314,10,496.76744383048396,11.748794910211142,108.82915748970774,0.2966645408217547,768.6865353855939,495.1303598831281,13.507385532689959,104.0072218237228,0.32641891468952355,755.6335192293727,2,9.790497554211163,495.5380051873208,13.862445056687989,0.3397904244638998,755.681873157784,"c(664364.554970287, 6319512.62402107)"
529,-700666.4662,7758297.241,-700566.4662,7758197.241,P_529,-700616.4662,7758247.241,20,314,10,457.7085112751399,29.27545389391164,66.99748493088467,0.5061248732921659,669.3164914150163,452.6850699326911,25.89256413712335,66.271781358591,0.46884083299695195,686.8047261678639,2,8.722788489150181,453.24675570841316,26.30587306026757,0.4742656879989515,685.5056560025674,"c(664414.799123403, 6319623.68876143)"
530,-700666.4662,7758197.241,-700566.4662,7758097.241,P_530,-700616.4662,7758147.241,6,314,10,465.0217473995242,32.58540857680111,68.85836649963636,0.5309009255027739,719.8797006471402,462.9831429784264,31.860503047774046,71.02673427952244,0.5078002066967124,722.351220737915,2,8.425895775682191,461.6093329696655,31.53928564082382,0.5107659407924234,726.6141081644861,"c(664416.957462252, 6319569.23790821)"
