SurfaceArea,Pred_dens,Pred_AOBs,Bark_south
560.5943574,0.094718924,30.29736145,0
563.4270839,0.130779661,42.37235078,0
567.0681724,0.118805246,38.63619834,0
569.5651096,0.13701014,44.94338417,0
579.8965858,0.142155624,47.54473817,0
589.5457966,0.162716598,55.61898841,0
581.2871854,0.160064937,53.90845995,0
567.5713319,0.112672903,36.62274154,0
559.0888315,0.081766799,26.01644965,0
586.0671076,0.145837627,49.34167993,0
586.9165939,0.157254723,53.4310709,0
597.985082,0.147368079,50.89039902,0
617.0120069,0.170989369,61.30121139,0
623.1114825,0.154588857,55.72801306,0
613.6359812,0.139905651,49.4851511,0
597.786528,0.146719707,50.64432686,0
583.1266981,0.166450279,56.32821747,0
571.8933484,0.152269285,50.35051288,0
580.1085356,0.136068133,45.45113354,0
585.1400299,0.149784045,50.64416979,0
594.5666572,0.140622958,48.20269231,0
610.5335696,0.14599462,51.45896351,0
627.4606541,0.156057984,56.67010492,0
635.7947667,0.179987786,66.65185804,0
629.9085715,0.204176682,75.43210633,0
618.8078844,0.210952499,76.73779614,0
607.8351747,0.176012859,62.2451826,0
597.4638818,0.084427307,28.72250154,0
557.6501848,0.114748055,36.66329628,0
566.3422747,0.119338511,38.7640598,0
576.4691613,0.125365275,41.50736794,0
586.4743402,0.17905839,61.14704577,0
601.5786946,0.234115237,83.39899006,0
619.1886503,0.224934325,82.23084415,0
629.5544941,0.19706415,72.60381928,0
633.1646127,0.193615653,71.66973281,0
633.2907499,0.198837139,73.73124969,0
630.1205548,0.117893549,42.59290983,0
565.3111368,0.101370166,32.73993442,0
565.9146963,0.107398808,34.76722616,0
567.1379858,0.131088067,42.75505387,0
566.8121912,0.136196438,44.45203103,0
571.5021183,0.171508867,56.96088704,0
583.4263711,0.17991479,61.13669753,0
598.5983827,0.150465892,52.05481149,0
611.6100564,0.123477548,43.35905788,0
621.8176778,0.124697054,44.52799644,0
628.6612298,0.107077565,38.50439403,0
623.3663119,0.068921582,24.38890331,0
579.5177536,0.12160566,40.4428517,0
581.8527696,0.12459034,41.62996935,0
579.9589798,0.113086236,37.56295002,0
565.0771424,0.11711497,37.93737237,0
561.8323952,0.113454764,36.51050531,0
556.8069267,0.086813132,27.53640267,0
554.2966464,0.09833157,31.12204319,0
555.9219172,0.103878905,33.01088363,0
562.4147334,0.108775556,35.00596437,0
572.7047115,0.114497926,37.56876287,0
588.4877379,0.111680455,37.63056791,0
606.3559447,0.117566952,40.87057909,0
612.8347055,0.115087556,40.41380375,0
609.5785073,0.071973942,24.92050121,0
600.0801701,0.061046712,20.76438595,0
572.2797693,0.097730507,31.9309485,0
556.7166113,0.160816947,51.88502117,0
557.290453,0.168213537,54.42713285,0
566.5521587,0.155961369,51.13622995,0
573.2022644,0.131610465,43.39035455,0
578.7502753,0.129780292,43.18090581,0
579.8421576,0.145327272,48.63996,0
581.5384651,0.113294153,37.7359448,0
576.6768528,0.110994791,36.64493777,0
575.0733439,0.103647584,34.07117543,0
575.5421735,0.103310546,33.98557059,0
550.3517486,0.086802185,27.21376962,0
549.3263601,0.12726983,40.16903927,0
547.3861289,0.133761777,42.13430657,0
545.4992663,0.119645133,37.43498649,0
548.1046767,0.116919345,36.73545429,0
561.3869995,0.138589552,44.82974996,0
581.1113175,0.170201033,57.45658035,0
595.3832407,0.165251499,57.08357808,0
604.0226241,0.113066449,39.11452608,0
605.7573102,0.102178214,35.3678559,0
602.4020499,0.120162294,41.52374023,0
586.1630638,0.13339568500000001,44.99240364,0
564.1104509,0.139377225,45.31374066,0
561.8231325,0.113981334,36.68387516,0
571.2501479,0.082146154,26.70821158,0
578.6642083,0.105812762,35.01358406,0
582.106299,0.148337627,49.87687853,0
581.8082894,0.158506344,53.40678287,0
578.6136103,0.152260895,50.93933931,0
573.5286254,0.126561863,41.70013299,0
567.0959512,0.109732149,35.61508076,0
567.0514391,0.091229907,29.49729817,0
568.1911579,0.12764063,41.67357542,0
573.624397,0.153593467,50.95763532,0
574.6411483,0.155378995,51.66559965,0
539.819516,0.076078785,23.34680831,0
541.5692055,0.089695513,27.68773259,0
548.0311092,0.168265831,53.54009066,0
558.4128476,0.191595679,62.51286553,0
570.3306457,0.173270856,57.45328225,0
584.5018246,0.114160015,38.22615339,0
594.1030053,0.097068642,32.91959929,0
598.2144273,0.093750905,31.99436762,0
588.1991214,0.074671118,24.96230362,0
567.6060165,0.064858392,20.88095187,0
561.661899,0.112811875,36.28735997,0
566.0558283,0.149642803,48.94362838,0
570.4231734,0.146274547,48.17466095,0
573.9055554,0.088480538,28.93666501,0
572.072098,0.061037151,19.79206409,0
567.1719156,0.130192344,42.45708728,0
566.2913677,0.153129211,50.14820343,0
567.3726968,0.133548968,43.60161215,0
562.5184911,0.126339343,40.82528536,0
553.5278855,0.10861722,34.40139306,0
571.2062219,0.061533295,19.92468761,0
574.0614009,0.060498522,19.68335108,0
562.7964649,0.116109973,37.45251092,0
562.5913825,0.138068939,44.7511621,0
563.4125107,0.155328601,50.63896182,0
543.6238044,0.134230449,41.99661918,0
550.7946216,0.109112947,34.39140914,0
564.4937842,0.089601755,28.82946898,0
573.8000988,0.06893483,22.45404337,0
572.7358517,0.054379615,17.63144081,0
544.7210944,0.121683021,38.03932177,0
550.3811029,0.109248225,34.40920876,0
561.3100188,0.080857361,25.82424832,0
566.1103836,0.077291544,24.87958471,0
561.3106491,0.149304452,48.42145236,0
559.5922897,0.109942121,35.21274166,0
563.5702688,0.133595732,43.32502173,0
561.7951251,0.132138722,42.70283605,0
